start_time,end_time,duration_minutes
2024-01-03 18:30:00,2024-01-05 19:40:00,2955
2024-01-22 09:05:00,2024-01-23 01:55:00,1015
2024-01-29 06:35:00,2024-01-30 13:55:00,1885
2024-02-09 16:15:00,2024-02-15 17:40:00,8710
2024-03-15 20:20:00,2024-03-17 12:50:00,960
2024-03-23 06:40:00,2024-03-26 17:15:00,4960
2024-05-10 12:45:00,2024-05-12 22:20:00,3460
2024-05-13 16:50:00,2024-05-17 16:55:00,5770
2024-06-08 03:50:00,2024-06-10 17:05:00,2445
2024-06-12 03:50:00,2024-06-14 01:35:00,1310
2024-07-23 05:50:00,2024-07-24 15:45:00,1580
2024-09-09 07:20:00,2024-09-10 18:35:00,1265
2024-09-17 07:55:00,2024-09-19 14:45:00,3295
2024-10-09 05:40:00,2024-10-11 17:55:00,3620
2024-10-26 15:45:00,2024-11-02 15:35:00,9660
2024-11-21 20:05:00,2024-11-23 07:40:00,2140
