start_time,end_time,instruments,duration_minutes,n_instruments
2024-01-03 18:30:00,2024-01-05 19:40:00,SOHO/EPHIN,2950.0,1
2024-01-22 09:05:00,2024-01-23 01:55:00,SOHO/EPHIN,1010.0,1
2024-01-29 06:35:00,2024-01-30 13:55:00,"GOES16/SGPS,SOHO/EPHIN",1880.0,2
2024-02-09 16:15:00,2024-02-15 17:40:00,"GOES16/SGPS,SOHO/EPHIN",8725.0,2
2024-03-15 20:20:00,2024-03-17 12:50:00,SOHO/EPHIN,2430.0,1
2024-03-23 06:40:00,2024-03-26 17:15:00,"GOES16/SGPS,SOHO/EPHIN",4955.0,2
2024-05-10 12:45:00,2024-05-12 22:20:00,"GOES16/SGPS,SOHO/EPHIN",3455.0,2
2024-05-13 16:05:00,2024-05-17 16:55:00,"GOES16/SGPS,SOHO/EPHIN",5810.0,2
2024-06-08 03:10:00,2024-06-10 17:05:00,"GOES16/SGPS,SOHO/EPHIN",3715.0,2
2024-06-12 03:50:00,2024-06-14 01:35:00,SOHO/EPHIN,2745.0,1
2024-07-23 05:40:00,2024-07-24 15:45:00,"GOES16/SGPS,SOHO/EPHIN",2045.0,2
2024-09-09 07:20:00,2024-09-10 18:35:00,"GOES16/SGPS,SOHO/EPHIN",2115.0,2
2024-09-17 07:55:00,2024-09-19 14:45:00,"GOES16/SGPS,SOHO/EPHIN",3290.0,2
2024-10-09 05:15:00,2024-10-11 17:55:00,"GOES16/SGPS,SOHO/EPHIN",3640.0,2
2024-10-26 15:45:00,2024-11-02 15:35:00,"GOES16/SGPS,SOHO/EPHIN",10070.0,2
2024-11-21 19:30:00,2024-11-23 07:40:00,"GOES16/SGPS,SOHO/EPHIN",2170.0,2
